# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode, next opcode, counts
LOAD_CONST, CALL, 2
LOAD_CONST, CREATE_CLASS, 1
LOAD_CONST, POP, 4330
LOAD_CONST, DUPE, 3
LOAD_GLOBAL, LOAD_FIELD, 2
LOAD_GLOBAL, CALL, 4
LOAD_GLOBAL, ASSERT_FUNC, 7
LOAD_GLOBAL, CREATE_OBJECT, 1
LOAD_GLOBAL_BY_INDEX, CALL, 21065
LOAD_GLOBAL_BY_INDEX, ASSERT_FUNC, 38470
LOAD_LOCAL_SAFE, LOAD_CONST, 1
LOAD_LOCAL_SAFE, LOAD_LOCAL_SAFE, 33477
LOAD_LOCAL_SAFE, LOAD_FIELD, 91282
LOAD_LOCAL_SAFE, CALL, 66954
LOAD_FIELD, ASSERT_FUNC, 91284
STORE_GLOBAL, LOAD_CONST, 1
STORE_GLOBAL, LOAD_GLOBAL, 2
STORE_GLOBAL, CREATE_FUNC, 16
STORE_GLOBAL, POP, 1
STORE_LOCAL, POP, 22410
CALL, LOAD_GLOBAL, 2
CALL, LOAD_GLOBAL_BY_INDEX, 16066
CALL, CALL, 9999
CALL, JUMP_IF_FALSE, 4999
CALL, JUMP_IF_FALSE_PEEK, 21739
CALL, POP, 16069
CALL, DUPE, 22407
JUMP, LOAD_GLOBAL_BY_INDEX, 21068
JUMP, POP, 669
JUMP_IF_FALSE, LOAD_CONST, 4330
JUMP_IF_FALSE, LOAD_LOCAL_SAFE, 669
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL, 1
JUMP_IF_FALSE_PEEK, LOAD_GLOBAL_BY_INDEX, 4998
JUMP_IF_FALSE_PEEK, LOAD_LOCAL_SAFE, 16069
JUMP_IF_FALSE_PEEK, JUMP, 669
JUMP_IF_FALSE_PEEK, POP, 2
ASSERT_FUNC, LOAD_CONST, 1
ASSERT_FUNC, LOAD_GLOBAL, 2
ASSERT_FUNC, LOAD_GLOBAL_BY_INDEX, 4999
ASSERT_FUNC, LOAD_LOCAL_SAFE, 93022
ASSERT_FUNC, CALL, 31737
CREATE_OBJECT, DUPE, 1
CREATE_CLASS, DUPE, 1
CREATE_LIST, DUPE, 1
CREATE_FUNC, DUPE, 17
POP, LOAD_CONST, 2
POP, LOAD_GLOBAL, 6
POP, LOAD_GLOBAL_BY_INDEX, 12404
POP, LOAD_LOCAL_SAFE, 10000
POP, JUMP, 21068
POP, CREATE_LIST, 1
DUPE, STORE_GLOBAL, 20
DUPE, STORE_LOCAL, 22410
