# Omitting opcode pairs executed zero times
# Opcode pairs are only tracked if they are in the same bytecode frame
opcode,next opcode,counts
ASSERT_FUNC,LOAD_LOCAL_SAFE,105860
LOAD_LOCAL_SAFE,LOAD_FIELD,83636
LOAD_GLOBAL_BY_INDEX,ASSERT_FUNC,60517
LOAD_FIELD,ASSERT_FUNC,45422
LOAD_LOCAL_SAFE,CALL,44611
STORE_LOCAL,POP,41750
DUPE,STORE_LOCAL,41750
LOAD_CONST,CALL,39690
LOAD_LOCAL_SAFE,LOAD_CONST,39646
LOAD_FIELD,DUPE,36100
CALL,JUMP_IF_FALSE,21605
CALL,CALL,21603
JUMP_IF_FALSE,LOAD_GLOBAL_BY_INDEX,21596
POP,LOAD_LOCAL_SAFE,20953
CALL,JUMP_IF_FALSE_PEEK,20859
LOAD_LOCAL_SAFE,JUMP_IF_FALSE,20859
JUMP_IF_FALSE,LOAD_LOCAL_SAFE,20859
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL_BY_INDEX,18751
POP,JUMP,18050
JUMP,LOAD_GLOBAL_BY_INDEX,18050
LOAD_LOCAL_SAFE,DUPE,5618
LOAD_LOCAL_SAFE,LOAD_LOCAL_SAFE,4977
POP,LOAD_GLOBAL_BY_INDEX,4914
JUMP_IF_FALSE_PEEK,POP,2107
LOAD_FIELD,LOAD_LOCAL_SAFE,2106
LOAD_GLOBAL_BY_INDEX,JUMP,2106
CALL,LOAD_LOCAL_SAFE,1406
CALL,JUMP,702
LOAD_GLOBAL_BY_INDEX,RETURN,701
SWAP,DUPE,62
DUPE,STORE_FIELD,62
ASSERT_FUNC,LOAD_CONST,43
ASSERT_FUNC,CALL,42
CREATE_OBJECT,DUPE,32
CALL,SWAP,31
LOAD_LOCAL_SAFE,SWAP,31
STORE_FIELD,POP,31
CALL,POP,31
LOAD_GLOBAL_BY_INDEX,CREATE_OBJECT,30
DUPE,STORE_GLOBAL,20
CREATE_FUNC,DUPE,17
STORE_GLOBAL,CREATE_FUNC,16
LOAD_FIELD,LOAD_CONST,10
LOAD_CONST,LOAD_LOCAL_SAFE,9
LOAD_FIELD,LOAD_FIELD,9
LOAD_GLOBAL,ASSERT_FUNC,7
JUMP_IF_FALSE,LOAD_GLOBAL,5
JUMP_IF_FALSE,LOAD_CONST,4
LOAD_CONST,JUMP,4
LOAD_CONST,CREATE_CLASS,2
LOAD_GLOBAL,LOAD_FIELD,2
POP,LOAD_GLOBAL,2
STORE_GLOBAL,LOAD_CONST,2
CREATE_CLASS,DUPE,2
STORE_GLOBAL,LOAD_GLOBAL,2
LOAD_GLOBAL,CREATE_OBJECT,2
LOAD_GLOBAL,JUMP,1
ASSERT_FUNC,LOAD_GLOBAL,1
LOAD_GLOBAL,RETURN,1
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1
CALL,DUPE,1
